iter	Passed	Remaining
0	164	164633
1	168	84208
2	173	57776
3	178	44394
4	182	36289
5	186	30846
6	190	27015
7	193	24039
8	197	21761
9	204	20239
10	208	18746
11	212	17479
12	218	16567
13	221	15622
14	225	14801
15	232	14290
16	237	13748
17	241	13172
18	246	12705
19	249	12239
20	253	11803
21	256	11419
22	261	11095
23	264	10747
24	267	10428
25	270	10146
26	276	9949
27	279	9697
28	282	9450
29	285	9218
30	289	9055
31	293	8872
32	296	8695
33	300	8527
34	305	8420
35	309	8281
36	312	8141
37	316	8005
38	320	7892
39	323	7760
40	326	7634
41	329	7518
42	334	7437
43	337	7333
44	340	7231
45	343	7132
46	348	7074
47	351	6978
48	354	6888
49	357	6801
50	362	6740
51	365	6661
52	368	6580
53	371	6506
54	374	6434
55	379	6395
56	382	6331
57	386	6276
58	393	6282
59	398	6247
60	404	6224
61	411	6224
62	415	6179
63	419	6129
64	423	6091
65	426	6038
66	429	5985
67	433	5936
68	437	5907
69	440	5858
70	444	5809
71	446	5759
72	449	5711
73	453	5679
74	456	5631
75	459	5588
76	462	5541
77	465	5500
78	469	5473
79	472	5434
80	475	5394
81	478	5354
82	479	5299
83	484	5278
84	487	5242
85	490	5210
86	493	5178
87	499	5174
88	502	5141
89	505	5111
90	508	5080
91	515	5086
92	518	5059
93	522	5037
94	527	5021
95	530	5000
96	534	4973
97	537	4946
98	542	4935
99	545	4912
100	548	4886
101	551	4859
102	555	4841
103	559	4822
104	562	4797
105	565	4773
106	569	4750
107	573	4737
108	576	4713
109	579	4690
110	582	4668
111	587	4659
112	591	4639
113	594	4619
114	600	4621
115	604	4606
116	607	4581
117	611	4572
118	616	4565
119	620	4549
120	623	4532
121	626	4510
122	630	4498
123	634	4484
124	641	4490
125	646	4482
126	648	4460
127	652	4445
128	656	4433
129	660	4422
130	664	4405
131	667	4387
132	669	4367
133	672	4349
134	677	4340
135	680	4324
136	683	4307
137	687	4292
138	691	4285
139	694	4269
140	697	4252
141	699	4229
142	702	4211
143	706	4202
144	709	4185
145	713	4171
146	716	4156
147	719	4139
148	722	4126
149	725	4109
150	727	4091
151	730	4074
152	732	4056
153	736	4045
154	739	4029
155	741	4012
156	744	3995
157	746	3978
158	749	3964
159	752	3949
160	754	3930
161	756	3914
162	759	3900
163	762	3885
164	766	3880
165	770	3868
166	773	3856
167	775	3840
168	779	3830
169	782	3820
170	785	3807
171	787	3793
172	791	3781
173	794	3771
174	797	3760
175	800	3746
176	802	3733
177	805	3719
178	807	3705
179	811	3696
180	813	3683
181	816	3669
182	818	3655
183	821	3641
184	824	3630
185	827	3621
186	830	3610
187	832	3597
188	836	3587
189	838	3576
190	842	3567
191	844	3555
192	847	3545
193	850	3534
194	853	3523
195	856	3515
196	858	3501
197	860	3487
198	862	3473
199	865	3463
200	867	3449
201	871	3442
202	873	3430
203	876	3418
204	878	3405
205	880	3392
206	885	3391
207	887	3381
208	890	3371
209	893	3362
210	898	3360
211	902	3356
212	906	3348
213	908	3338
214	912	3329
215	919	3339
216	923	3333
217	926	3323
218	933	3328
219	936	3321
220	942	3320
221	951	3333
222	954	3327
223	967	3351
224	970	3342
225	973	3333
226	979	3334
227	982	3327
228	986	3320
229	990	3317
230	995	3315
231	1001	3316
232	1005	3310
233	1008	3302
234	1012	3295
235	1020	3303
236	1025	3302
237	1033	3309
238	1040	3314
239	1044	3307
240	1053	3317
241	1059	3318
242	1064	3316
243	1073	3324
244	1076	3318
245	1087	3333
246	1092	3331
247	1097	3328
248	1103	3327
249	1107	3322
250	1111	3315
251	1116	3314
252	1120	3308
253	1124	3302
254	1133	3310
255	1136	3303
256	1140	3295
257	1146	3297
258	1150	3290
259	1153	3282
260	1157	3277
261	1162	3273
262	1165	3265
263	1168	3257
264	1173	3254
265	1176	3247
266	1180	3240
267	1183	3232
268	1190	3236
269	1195	3233
270	1206	3245
271	1211	3241
272	1218	3246
273	1224	3243
274	1228	3239
275	1236	3242
276	1239	3235
277	1242	3227
278	1245	3219
279	1250	3215
280	1253	3207
281	1256	3199
282	1259	3191
283	1263	3186
284	1267	3179
285	1270	3171
286	1273	3163
287	1277	3158
288	1281	3152
289	1285	3146
290	1288	3139
291	1293	3137
292	1298	3133
293	1302	3126
294	1307	3124
295	1311	3119
296	1315	3113
297	1318	3105
298	1323	3103
299	1326	3096
300	1330	3088
301	1332	3078
302	1334	3068
303	1336	3060
304	1339	3051
305	1341	3042
306	1343	3032
307	1345	3024
308	1347	3014
309	1349	3004
310	1351	2995
311	1355	2988
312	1358	2981
313	1360	2972
314	1362	2962
315	1365	2955
316	1368	2949
317	1371	2940
318	1372	2930
319	1374	2921
320	1376	2912
321	1380	2905
322	1386	2905
323	1389	2899
324	1393	2894
325	1398	2891
326	1401	2885
327	1405	2878
328	1408	2873
329	1416	2875
